2019-04-20 14:41:13.712 [main] INFO  com.calligraphy.CalligraphyAppApplication - Starting CalligraphyAppApplication on DESKTOP-TBI9BAK with PID 5260 (C:\Users\peng\eclipse-workspace\calligraphyApp\target\classes started by peng in C:\Users\peng\eclipse-workspace\calligraphyApp)
2019-04-20 14:41:13.716 [main] INFO  com.calligraphy.CalligraphyAppApplication - The following profiles are active: dev
2019-04-20 14:41:15.547 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-20 14:41:15.551 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-20 14:41:15.651 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67ms. Found 0 repository interfaces.
2019-04-20 14:41:16.133 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cd9f6485] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 14:41:16.680 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10129 (http)
2019-04-20 14:41:16.701 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10129"]
2019-04-20 14:41:16.713 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-04-20 14:41:16.713 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-04-20 14:41:16.725 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_151\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Java\jdk1.8.0_151\bin;C:\Users\peng\apache-maven-3.5.2\bin;C:\ProgramData\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\windows\system32;C:\windows;C:\windows\System32\Wbem;C:\windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\TortoiseSVN\bin;C:\Users\peng\spring-boot-cli-2.0.0.RELEASE-bin\spring-2.0.0.RELEASE\bin;C:\Users\peng\hadoop-2.7.5\bin;hadoop;C:\Users\peng\gradle-4.7\bin;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\Users\peng\spark-2.4.0-bin-hadoop2.7\bin;C:\Users\peng\spark-2.4.0-bin-hadoop2.7\sbin;C:\Users\peng\AppData\Local\Programs\Git\cmd;C:\Program Files\TortoiseGit\bin;C:\Program Files\nodejs\;C:\Users\peng\AppData\Local\Programs\Python\Python37\Scripts\;C:\Users\peng\AppData\Local\Programs\Python\Python37\;C:\Users\peng\AppData\Local\Microsoft\WindowsApps;;C:\Program Files\Microsoft VS Code\bin;C:\Users\peng\AppData\Roaming\npm;.]
